,team,H25,H975
0,ATL,0.49255,0.5825
1,BKN,0.50673,0.59474
2,BOS,0.51872,0.60427
3,CHA,0.50633,0.5985
4,CHI,0.52839,0.61295
5,CLE,0.51939,0.60562
6,DAL,0.4773,0.57068
7,DEN,0.49162,0.58395
8,DET,0.48341,0.5736
9,GSW,0.49753,0.58588
10,HOU,0.49678,0.58525
11,IND,0.48526,0.57755
12,LAC,0.48853,0.5835
13,LAL,0.49097,0.58202
14,MEM,0.49629,0.58672
15,MIA,0.51247,0.59954
16,MIL,0.48919,0.57928
17,MIN,0.48807,0.57953
18,NOP,0.50285,0.60805
19,NYK,0.48859,0.58003
20,OKC,0.4917,0.58101
21,ORL,0.49508,0.58583
22,PHI,0.49949,0.58953
23,PHX,0.51466,0.59943
24,POR,0.4828,0.57676
25,SAC,0.47518,0.56882
26,SAS,0.50279,0.58986
27,TOR,0.49996,0.58976
28,UTA,0.48141,0.57439
29,WAS,0.48934,0.57811
